frame_number,clip_name,coord_x_0,coord_y_0,coord_z_0,confidence_0,coord_x_1,coord_y_1,coord_z_1,confidence_1,coord_x_2,coord_y_2,coord_z_2,confidence_2,coord_x_3,coord_y_3,coord_z_3,confidence_3,coord_x_4,coord_y_4,coord_z_4,confidence_4,coord_x_5,coord_y_5,coord_z_5,confidence_5,coord_x_6,coord_y_6,coord_z_6,confidence_6,coord_x_7,coord_y_7,coord_z_7,confidence_7,coord_x_8,coord_y_8,coord_z_8,confidence_8,coord_x_9,coord_y_9,coord_z_9,confidence_9,coord_x_10,coord_y_10,coord_z_10,confidence_10,coord_x_11,coord_y_11,coord_z_11,confidence_11,coord_x_12,coord_y_12,coord_z_12,confidence_12,coord_x_13,coord_y_13,coord_z_13,confidence_13,coord_x_14,coord_y_14,coord_z_14,confidence_14,coord_x_15,coord_y_15,coord_z_15,confidence_15,coord_x_16,coord_y_16,coord_z_16,confidence_16,coord_x_17,coord_y_17,coord_z_17,confidence_17,coord_x_18,coord_y_18,coord_z_18,confidence_18,coord_x_19,coord_y_19,coord_z_19,confidence_19,coord_x_20,coord_y_20,coord_z_20,confidence_20,coord_x_21,coord_y_21,coord_z_21,confidence_21,coord_x_22,coord_y_22,coord_z_22,confidence_22,coord_x_23,coord_y_23,coord_z_23,confidence_23,coord_x_24,coord_y_24,coord_z_24,confidence_24,coord_x_25,coord_y_25,coord_z_25,confidence_25,coord_x_26,coord_y_26,coord_z_26,confidence_26,coord_x_27,coord_y_27,coord_z_27,confidence_27,coord_x_28,coord_y_28,coord_z_28,confidence_28,coord_x_29,coord_y_29,coord_z_29,confidence_29,coord_x_30,coord_y_30,coord_z_30,confidence_30,coord_x_31,coord_y_31,coord_z_31,confidence_31,coord_x_32,coord_y_32,coord_z_32,confidence_32,movement_type,speed,camera_angle,camera_distance
13,Adelante_Lento_Centro_Cerca.mp4,0.1457860469818115,0.8312121033668518,-0.1929803937673568,0.9684104919433594,0.1549334824085235,0.8376247882843018,-0.22237329185009,0.9601580500602722,0.1548476219177246,0.8377091884613037,-0.2222873270511627,0.9642884135246276,0.1550114750862121,0.8374833464622498,-0.2221781313419342,0.9592552781105042,0.1553954184055328,0.838252067565918,-0.1856812834739685,0.9521389603614808,0.1556689143180847,0.8387994170188904,-0.1856985390186309,0.9607425332069396,0.156424194574356,0.8390173316001892,-0.18563012778759,0.962473690509796,0.1430488526821136,0.8387125730514526,-0.2766753435134887,0.9604317545890808,0.1476016640663147,0.8415710926055908,-0.1106132194399833,0.9634064435958862,0.1238114535808563,0.8305445909500122,-0.2036363929510116,0.9584325551986694,0.1235645189881324,0.830808699131012,-0.156005173921585,0.961318016052246,0.054037868976593,0.8069757223129272,-0.3793412744998932,0.9707034826278688,0.0644733607769012,0.8243939876556396,0.052561517804861,0.918672502040863,-0.0065888017416,0.7260072231292725,-0.4210179150104522,0.8720099925994873,0.0136287063360214,0.7624236345291138,0.0626340359449386,0.0550250597298145,-0.0217069387435913,0.6478199362754822,-0.3566291034221649,0.8290281891822815,0.0093174129724502,0.7089599967002869,0.0285746753215789,0.0485667623579502,-0.0212709009647369,0.6294174194335938,-0.4060236513614654,0.7993025183677673,0.0208482593297958,0.7028049230575562,0.040079403668642,0.0593489482998847,-0.0066539645195007,0.6328349709510803,-0.3703199625015259,0.7960860133171082,0.0210025757551193,0.6989102959632874,-0.0077612861059606,0.0599875710904598,-0.0092380195856094,0.6394131183624268,-0.3429450988769531,0.7172777056694031,0.0139802694320678,0.6991425156593323,0.0074695162475109,0.0609946995973587,-0.1668424010276794,0.8173446655273438,-0.1372169256210327,0.0440392531454563,-0.1588657349348068,0.8199716210365295,0.1376812905073166,0.0313284620642662,-0.0119536221027374,0.7900205254554749,-0.0924282297492027,0.6851806044578552,-0.0190191864967346,0.7691649794578552,0.1841440498828888,0.0810360834002494,-0.018892616033554,0.7375256419181824,0.1248648315668106,0.3389098942279815,0.0190033018589019,0.7071949243545532,0.3401703238487243,0.0723082572221756,-0.0309786722064018,0.7268747687339783,0.141788437962532,0.1587789058685302,0.0094325840473175,0.6946755647659302,0.3561710715293884,0.1079216003417968,0.0411863774061203,0.7268951535224915,0.0782085359096527,0.2233889549970626,0.0984300673007965,0.702434778213501,0.3125053346157074,0.0900724381208419,caminar_adelante,lento,Centro,Cerca
14,Adelante_Lento_Centro_Cerca.mp4,0.1411897242069244,0.8306241631507874,-0.1050903797149658,0.9671802520751952,0.1547173708677292,0.839243471622467,-0.1278011798858642,0.95987468957901,0.1532585471868515,0.8380963206291199,-0.1276632994413375,0.9636221528053284,0.1532818973064422,0.8376553654670715,-0.1274491101503372,0.959050953388214,0.1549111008644104,0.8404114246368408,-0.1086553260684013,0.9518266320228576,0.1550710499286651,0.8410512804985046,-0.1086744219064712,0.959427535533905,0.1556246131658554,0.8413687348365784,-0.1086150482296943,0.9613856077194214,0.1430429518222808,0.8387140035629272,-0.1718251407146453,0.9592981934547424,0.1472058296203613,0.8426092863082886,-0.0840639099478721,0.9617186188697816,0.1226591616868972,0.830588161945343,-0.1136204823851585,0.9548863172531128,0.1222899258136749,0.8326777219772339,-0.0888462737202644,0.957632541656494,0.0607303902506828,0.8112581968307495,-0.262629896402359,0.9622454643249512,0.0658797398209571,0.8201516270637512,0.037854328751564,0.9096586108207704,0.0105116143822669,0.7464980483055115,-0.2909919321537018,0.8454922437667847,0.0236151292920112,0.7624204158782959,0.0627212896943092,0.0613149031996727,-0.0002151705848518,0.6844526529312134,-0.1984515041112899,0.7876097559928894,0.0130281308665871,0.7089666128158569,0.0456051528453826,0.0565833933651447,-0.0036032756324857,0.6689937114715576,-0.2209808230400085,0.7565916180610657,0.0208480209112167,0.700269341468811,0.0518072918057441,0.0680703520774841,0.0053172968327999,0.6718651652336121,-0.2014603614807129,0.7539490461349487,0.0194501373916864,0.6977458596229553,0.0188140366226434,0.0692983865737915,0.0051204855553805,0.6787382960319519,-0.1890162080526352,0.6799197793006897,0.0139696169644594,0.6991370320320129,0.0307345949113369,0.070168524980545,-0.1511288434267044,0.8175637722015381,-0.1066283881664276,0.0416655503213405,-0.1481726914644241,0.8167839050292969,0.1071598753333091,0.030102951452136,-0.0010090072173625,0.790529191493988,-0.0993406772613525,0.6605592966079712,-0.0172253865748643,0.7645815014839172,0.1166734173893928,0.0791952908039093,-0.0040083569474518,0.7426110506057739,0.0686204954981803,0.3317384123802185,0.0212585441768169,0.709098756313324,0.2285045087337494,0.0715621039271354,-0.0141573417931795,0.7327460646629333,0.0789271146059036,0.1582137942314148,0.0137511305510997,0.6986329555511475,0.2373017519712448,0.1056476458907127,0.0426891222596168,0.7358230948448181,0.0101117258891463,0.2244918644428253,0.0911480262875557,0.7034661173820496,0.1909816861152649,0.0912502780556678,caminar_adelante,lento,Centro,Cerca
15,Adelante_Lento_Centro_Cerca.mp4,0.1466761082410812,0.8345465064048767,0.0306159760802984,0.9673661589622498,0.1603023707866668,0.8405295610427856,0.0067533068358898,0.9605174660682678,0.1599359214305877,0.8397845029830933,0.0068872352130711,0.963656723499298,0.1600977629423141,0.8392364382743835,0.0071131847798824,0.959524631500244,0.1599328815937042,0.8420014977455139,0.0264028888195753,0.9530745148658752,0.1598177254199981,0.8427475690841675,0.0264494307339191,0.9596861600875854,0.1600021570920944,0.843161940574646,0.0265143625438213,0.9617421627044678,0.151061549782753,0.8407870531082153,-0.049962718039751,0.9587876796722412,0.1529542505741119,0.8445442914962769,0.0395736061036586,0.9618804454803468,0.13285693526268,0.8335846066474915,0.0171838086098432,0.9532266855239868,0.1317431628704071,0.8350569605827332,0.042610190808773,0.9561067223548888,0.0952396765351295,0.8221667408943176,-0.1536290943622589,0.9586070775985718,0.0845608860254287,0.8276327252388,0.1237022429704666,0.9085466861724854,0.0469647198915481,0.7742674946784973,-0.1891348510980606,0.8263777494430542,0.0550900027155876,0.7863237857818604,0.1718973666429519,0.0690698996186256,0.035165935754776,0.7216654419898987,-0.0994857773184776,0.7461333870887756,0.0429091826081275,0.7482126951217651,0.1630254685878753,0.0662666782736778,0.0294407773762941,0.7091444730758667,-0.1154412403702735,0.7135807275772095,0.0401790551841259,0.7401025891304016,0.1733705848455429,0.0785290375351905,0.0355678275227546,0.7116600275039673,-0.0973548367619514,0.7109971642494202,0.0392278544604778,0.7387477159500122,0.14585842192173,0.0803858861327171,0.0370094291865825,0.7176172733306885,-0.0898150727152824,0.6419670581817627,0.0393541418015956,0.7404137253761292,0.1510900557041168,0.0813992917537689,-0.1125698760151863,0.8243747353553772,-0.1009761020541191,0.0400777086615562,-0.1170917451381683,0.8220010995864868,0.1014012545347213,0.0299881007522344,0.0208286046981811,0.7972304821014404,-0.1303740590810775,0.6467946171760559,0.0044428361579775,0.7686070203781128,0.0956008657813072,0.0802842453122139,0.0069167693145573,0.7702916264533997,0.00618795491755,0.3242304921150207,0.0258468110114336,0.7234197854995728,0.1679995357990265,0.0734514147043228,-0.0041890041902661,0.7655648589134216,0.014602743089199,0.1568797975778579,0.0165355335921049,0.7155656218528748,0.1732765138149261,0.1074602603912353,0.0430315770208835,0.7608356475830078,-0.0458356402814388,0.2232762724161148,0.0866574794054031,0.7113141417503357,0.1342949420213699,0.0961138904094696,caminar_adelante,lento,Centro,Cerca
16,Adelante_Lento_Centro_Cerca.mp4,0.1356712132692337,0.8367729783058167,0.0010771378874778,0.968096137046814,0.1579838991165161,0.8425206542015076,-0.0176109708845615,0.9612768292427064,0.1580634862184524,0.8422872424125671,-0.0174098312854766,0.9633612036705016,0.1577187925577163,0.841871976852417,-0.0171825289726257,0.9596516489982604,0.1573570966720581,0.8433058857917786,-0.0098384022712707,0.954442262649536,0.1570495814085006,0.8437665700912476,-0.0096971737220883,0.9597615599632264,0.156381294131279,0.843852698802948,-0.0095520829781889,0.9620242714881896,0.1507654041051864,0.8407623767852783,-0.0529453456401824,0.9584028720855712,0.1519790440797805,0.8448283672332764,-0.0150347957387566,0.9622726440429688,0.1263129711151123,0.8339247107505798,-0.0033995197154581,0.9518270492553712,0.1306917518377304,0.8382856249809265,0.0060859210789203,0.9557325839996338,0.0853845551609993,0.8232652544975281,-0.1038964018225669,0.9501022100448608,0.0826396048069,0.829278290271759,0.0365223959088325,0.9064168930053712,0.0699075758457183,0.8190643191337585,-0.0954033136367797,0.7872611284255981,0.0815431773662567,0.8206831216812134,0.0724422931671142,0.0965458750724792,0.0729164630174636,0.8150318264961243,-0.0251157581806182,0.7025571465492249,0.0815157815814018,0.8082401156425476,0.1177287027239799,0.0911756679415702,0.0716377049684524,0.8163180947303772,-0.0343194045126438,0.6718869209289551,0.0771322473883628,0.8060852289199829,0.1306439638137817,0.1024000793695449,0.0731426775455474,0.8154507279396057,-0.0287512484937906,0.6693580746650696,0.0764929056167602,0.8057628273963928,0.103035032749176,0.1050076410174369,0.0727091655135154,0.815320611000061,-0.0224830321967601,0.6070286631584167,0.0764839723706245,0.8054233193397522,0.1076704636216163,0.1068363264203071,-0.1210198551416397,0.8263788223266602,-0.065357431769371,0.0371109396219253,-0.1261965185403823,0.8266222476959229,0.065805859863758,0.0280361752957105,0.023921774700284,0.825379490852356,-0.072001427412033,0.6043991446495056,0.0094483066350221,0.8065386414527893,0.0834772288799285,0.0776682794094085,0.0410746186971664,0.8034753203392029,0.0752620548009872,0.2996541559696197,0.048825092613697,0.8016296625137329,0.2063540518283844,0.0701838061213493,0.0357575006783008,0.794858992099762,0.0785423219203949,0.1487751752138137,0.0448367819190025,0.7971662878990173,0.2178718745708465,0.1039768978953361,0.0783581063151359,0.8087556958198547,0.0314647480845451,0.2109448015689849,0.09953223913908,0.8052483201026917,0.1883347928524017,0.0940647050738334,caminar_adelante,lento,Centro,Cerca
17,Adelante_Lento_Centro_Cerca.mp4,0.1342750787734985,0.8379978537559509,-0.0362097360193729,0.9696938991546632,0.1463484615087509,0.8423734307289124,-0.0562525130808353,0.9631322026252748,0.1459546387195587,0.842132568359375,-0.0560478083789348,0.964763641357422,0.1452654749155044,0.8414865136146545,-0.0557652562856674,0.961018204689026,0.155360147356987,0.8443748354911804,-0.0412185341119766,0.9568823575973512,0.155117854475975,0.844813346862793,-0.0410946607589721,0.961603820323944,0.1542212963104248,0.8447597622871399,-0.0409218035638332,0.9637176394462584,0.13538159430027,0.8382479548454285,-0.0940022468566894,0.9597356915473938,0.1335502415895462,0.8434715867042542,-0.0267109666019678,0.9641308188438416,0.1249249204993248,0.8338390588760376,-0.0422142148017883,0.9518348574638368,0.1272198855876922,0.8376045823097229,-0.023154878988862,0.9566547870635986,0.0804555118083953,0.8244421482086182,-0.1561956703662872,0.9442778825759888,0.0812926068902015,0.8287960886955261,0.0360303595662117,0.9066956639289856,0.0691351667046547,0.8156009912490845,-0.1693211048841476,0.7662339210510254,0.0823122337460517,0.8164653182029724,0.0726807713508606,0.125651016831398,0.0746385306119918,0.7965390086174011,-0.1028009131550788,0.6758407354354858,0.0876840353012085,0.7966696619987488,0.1141297295689582,0.1158902645111084,0.074419118463993,0.794094443321228,-0.1236844211816787,0.6444944739341736,0.0865982249379158,0.7934727072715759,0.1223887279629707,0.1254007369279861,0.0764675065875053,0.7937676906585693,-0.114440307021141,0.642391562461853,0.0861831977963447,0.7940067052841187,0.091737151145935,0.1292345076799392,0.0756730362772941,0.7950672507286072,-0.0990685001015663,0.5848150849342346,0.0851037874817848,0.7937477827072144,0.1023248061537742,0.1321274042129516,-0.1286161243915558,0.8290685415267944,-0.0776987746357917,0.0351107902824878,-0.1311316937208175,0.8260185122489929,0.0781852677464485,0.0275327339768409,0.0250685047358274,0.8279239535331726,-0.0763169676065445,0.5890414118766785,0.0112118804827332,0.7963364720344543,0.0913582369685173,0.084154225885868,0.0493817254900932,0.8095380663871765,0.0779798999428749,0.2901028394699096,0.0588318184018135,0.7761709690093994,0.2155506908893585,0.0779825448989868,0.0467587821185588,0.8009828329086304,0.0867665857076644,0.1509611308574676,0.0560493879020214,0.7696914076805115,0.2256282866001129,0.112911120057106,0.0853177532553672,0.8186914324760437,0.0290763135999441,0.2141942828893661,0.1121589094400405,0.7774856090545654,0.1896462738513946,0.105636142194271,caminar_adelante,lento,Centro,Cerca
18,Adelante_Lento_Centro_Cerca.mp4,0.1439643651247024,0.8437602519989014,0.0266995821148157,0.9719043374061584,0.157473936676979,0.8457311391830444,0.0067604719661176,0.9657052159309388,0.1577413529157638,0.845489501953125,0.0069632832892239,0.966878056526184,0.1577801704406738,0.8448473811149597,0.007187370210886,0.9635398983955384,0.160130113363266,0.8466923236846924,0.0177772548049688,0.9601126313209534,0.1597711890935897,0.846899688243866,0.0179087407886981,0.9641473293304444,0.159213975071907,0.8467085361480713,0.0180547833442688,0.9662433862686156,0.1482879370450973,0.8433440327644348,-0.0369486883282661,0.9620317816734314,0.1468686163425445,0.8457097411155701,0.011783443391323,0.9666665196418762,0.1325300633907318,0.8421139121055603,0.0184587184339761,0.9543646574020386,0.1324573457241058,0.8425112962722778,0.0321232713758945,0.9592551589012146,0.0923271924257278,0.8272877335548401,-0.1050628125667572,0.9434041380882264,0.0938342660665512,0.8342159390449524,0.0506240725517272,0.9104197025299072,0.075001060962677,0.8275004625320435,-0.1204076558351516,0.7435891628265381,0.0894222855567932,0.8280126452445984,0.0928098410367965,0.1419488191604614,0.0724856331944465,0.8235247135162354,-0.0635902136564254,0.640457272529602,0.0911649316549301,0.8165991902351379,0.1467338800430297,0.1302650421857834,0.0701641887426376,0.8258395791053772,-0.0774058252573013,0.6090890169143677,0.0884609296917915,0.8151451349258423,0.1600220650434494,0.1395565718412399,0.0729444548487663,0.8249216079711914,-0.0716615989804267,0.6071445941925049,0.0891062915325164,0.8146007657051086,0.1317774504423141,0.1441750824451446,0.072967879474163,0.8247630596160889,-0.0614153109490871,0.5555763244628906,0.0885542035102844,0.8138043284416199,0.136464312672615,0.1481430679559707,-0.1100910529494285,0.8319903016090393,-0.0729734376072883,0.0333705469965934,-0.1176316142082214,0.8319986462593079,0.0734363943338394,0.0268488675355911,0.0286373943090438,0.8263837695121765,-0.0732415243983268,0.5646459460258484,0.0158168766647577,0.8021440505981445,0.0852557718753814,0.0844068154692649,0.0497396290302276,0.8092039823532104,0.0800758302211761,0.2729053497314453,0.0578789375722408,0.7878307104110718,0.195957064628601,0.0767258778214454,0.0451448038220405,0.8018004298210144,0.0895665735006332,0.1468423902988433,0.0541963912546634,0.7828854322433472,0.2060569375753402,0.1127610355615615,0.0872545838356018,0.815500020980835,0.0321670174598693,0.2062536031007766,0.1106278374791145,0.7878851294517517,0.1802709847688675,0.1056354790925979,caminar_adelante,lento,Centro,Cerca
19,Adelante_Lento_Centro_Cerca.mp4,0.1536165326833725,0.8453773260116577,0.0189819522202014,0.9726727604866028,0.1643507331609726,0.8463014364242554,-0.0050805313512682,0.9668814539909364,0.1651736497879028,0.8457520008087158,-0.0049089207313954,0.9673475027084352,0.1659600585699081,0.8448559045791626,-0.0046866540797054,0.9644371867179872,0.1640989780426025,0.8477615118026733,0.016488978639245,0.9615218043327332,0.1638118028640747,0.848135769367218,0.0165729261934757,0.9646739363670348,0.163623496890068,0.8481737971305847,0.0166845470666885,0.967033624649048,0.159436285495758,0.8438934683799744,-0.06429473310709,0.9625905752182008,0.1570803672075271,0.8476393222808838,0.0325735956430435,0.967276692390442,0.1427134275436401,0.8429638147354126,0.0031885118223726,0.9535151720046996,0.140980988740921,0.8436622619628906,0.0309137515723705,0.9590872526168824,0.1003363728523254,0.8300056457519531,-0.1519239097833633,0.943889617919922,0.0966520980000495,0.8376259207725525,0.0943354964256286,0.912125527858734,0.0755395516753196,0.8142099380493164,-0.1810629367828369,0.7364251017570496,0.0808571577072143,0.8180115818977356,0.1445047110319137,0.1498956233263015,0.0714478492736816,0.7954586744308472,-0.1028055623173713,0.6209242939949036,0.0826533064246177,0.7913053631782532,0.1656498163938522,0.1351473927497863,0.0683753341436386,0.7940248847007751,-0.119055263698101,0.5856531262397766,0.0817070379853248,0.7862879037857056,0.1777318120002746,0.1441067159175872,0.0714496672153472,0.7942104339599609,-0.1080419272184372,0.5835898518562317,0.0826254487037658,0.7853758931159973,0.1444700807332992,0.1496038734912872,0.0716333091259002,0.7951924204826355,-0.0976396575570106,0.5360625982284546,0.0815792605280876,0.7859194278717041,0.1514461487531662,0.1548842638731002,-0.0986644700169563,0.8353696465492249,-0.0816963464021682,0.0335287861526012,-0.1046296283602714,0.8331282734870911,0.0821665003895759,0.0289104022085666,0.0402983836829662,0.8234996795654297,-0.1049324497580528,0.5519924163818359,0.0252532046288251,0.7989324927330017,0.0784474462270736,0.0907569229602813,0.058510061353445,0.8047686219215393,0.0309903882443904,0.2590543925762176,0.0690481141209602,0.7738204598426819,0.1603584140539169,0.0802300199866294,0.055775012820959,0.7972886562347412,0.0403767973184585,0.1440725028514862,0.0652258545160293,0.7670384049415588,0.1664319634437561,0.1182067617774009,0.0917131602764129,0.8114706873893738,-0.0110353659838438,0.2001012414693832,0.1230618059635162,0.7705166339874268,0.1307409405708313,0.1095471009612083,caminar_adelante,lento,Centro,Cerca
20,Adelante_Lento_Centro_Cerca.mp4,0.1550715118646621,0.8447335958480835,0.0525579452514648,0.9740768671035768,0.1669187098741531,0.8460589051246643,0.0302272010594606,0.9691994190216064,0.1679451614618301,0.8454817533493042,0.0302734449505805,0.969589352607727,0.1687576621770858,0.8445428609848022,0.0303322859108448,0.9670610427856444,0.1654480695724487,0.8474510908126831,0.0489320196211338,0.9643716812133788,0.1650988608598709,0.8477949500083923,0.048902578651905,0.9671797752380372,0.1647409349679947,0.8482676148414612,0.0488657467067241,0.9693284630775452,0.1630930304527282,0.8435932397842407,-0.031923521310091,0.9654908776283264,0.1586809903383255,0.8478136658668518,0.0533829666674137,0.9697267413139344,0.1406872123479843,0.8395381569862366,0.0340128950774669,0.9568454623222352,0.1407161504030227,0.8434678316116333,0.0582899004220962,0.9618568420410156,0.0988077968358993,0.8288463354110718,-0.1310253292322158,0.9487435221672058,0.0926529988646507,0.8400102257728577,0.1248194128274917,0.9165252447128296,0.0643084049224853,0.8117064833641052,-0.1662080734968185,0.7396761775016785,0.0633106008172035,0.8173168897628784,0.1638026535511016,0.1489027887582779,0.0608600601553916,0.7960430383682251,-0.0917500481009483,0.5946242809295654,0.0740349218249321,0.7925387024879456,0.1364584863185882,0.1326617002487182,0.0582267120480537,0.7953103184700012,-0.106127806007862,0.5553518533706665,0.0764866694808006,0.7874114513397217,0.1524388939142227,0.1428343504667282,0.0634703487157821,0.794788122177124,-0.0988813117146492,0.5535426139831543,0.0746683776378631,0.7865665555000305,0.1131323054432869,0.148637980222702,0.0636138096451759,0.7958310842514038,-0.0875459313392639,0.5110660791397095,0.0731975808739662,0.7872291803359985,0.1225528046488761,0.1529724895954132,-0.0963764712214469,0.8333700895309448,-0.0883040204644203,0.0836059525609016,-0.0977534875273704,0.8325195908546448,0.0887127593159675,0.0739591643214225,0.0369372256100177,0.7835880517959595,-0.114898644387722,0.5849433541297913,0.0209952034056186,0.7559655904769897,0.0810243561863899,0.1107446178793907,0.0459117926657199,0.7122867107391357,-0.05919686332345,0.3047425448894501,0.0610437542200088,0.6805285811424255,0.0837105363607406,0.1057967767119407,0.046693842858076,0.7011552453041077,-0.0567310713231563,0.1963032931089401,0.0584909617900848,0.6683502793312073,0.081210158765316,0.1528162807226181,0.0854025706648826,0.6983609795570374,-0.1125031039118766,0.2394732385873794,0.1186354607343673,0.6659971475601196,0.0366644710302352,0.1333943307399749,caminar_adelante,lento,Centro,Cerca
21,Adelante_Lento_Centro_Cerca.mp4,0.1606741398572921,0.8445845246315002,0.0886572003364563,0.9757768511772156,0.1720476448535919,0.8457629084587097,0.0637566298246383,0.9712536931037904,0.1728833019733429,0.8451476693153381,0.063924454152584,0.9712525010108948,0.1736377477645874,0.8442960381507874,0.064099796116352,0.969079613685608,0.170246422290802,0.84771329164505,0.0686642378568649,0.9669636487960817,0.1699670255184173,0.8483015894889832,0.0687315985560417,0.969292163848877,0.1699177175760269,0.8488725423812866,0.0687702000141143,0.9714226126670836,0.1681185960769653,0.8421275019645691,-0.012119241990149,0.9675980806350708,0.1648418009281158,0.8487673401832581,0.0206419825553894,0.9719655513763428,0.148109033703804,0.8416174650192261,0.0673858299851417,0.9597222208976746,0.1461085975170135,0.8441575169563293,0.0737232342362403,0.9645031094551086,0.1052726879715919,0.8286263346672058,-0.0746713653206825,0.9499865174293518,0.1104368194937706,0.8499505519866943,0.0296301208436489,0.921780526638031,0.0724366009235382,0.8227820992469788,-0.0776170492172241,0.7085991501808167,0.0865404605865478,0.8403280973434448,0.0672592148184776,0.1654693186283111,0.0587942712008953,0.8262741565704346,-0.013689643703401,0.5492264628410339,0.0767665728926658,0.8258252739906311,0.1281498670578003,0.1402598470449447,0.0544934123754501,0.8290051221847534,-0.0196366179734468,0.5117577314376831,0.0740702524781227,0.8232197165489197,0.143506646156311,0.1491351723670959,0.0595717318356037,0.8294858336448669,-0.0147471623495221,0.5100817680358887,0.0732441917061805,0.8211628794670105,0.1170167550444603,0.1551474183797836,0.0600932724773883,0.8294677138328552,-0.0128592401742935,0.4722525179386139,0.0729457885026931,0.8210418224334717,0.118032120168209,0.1593160033226013,-0.0759815201163292,0.832410991191864,-0.0572790764272213,0.077723242342472,-0.0792574882507324,0.8398261666297913,0.0576906837522983,0.0687328279018402,0.0380694009363651,0.8157182931900024,-0.0861103907227516,0.5595667362213135,0.0204704832285642,0.7941429615020752,0.0583869256079196,0.1120695620775222,0.0421776361763477,0.7912052273750305,0.0017060221871361,0.2845189571380615,0.0473294854164123,0.7686828374862671,0.1108002886176109,0.1019671186804771,0.0430683903396129,0.7852150797843933,0.0116508416831493,0.1858289688825607,0.0420898459851741,0.7631382346153259,0.1148493736982345,0.1495313048362732,0.0714597180485725,0.7888526320457458,-0.0695868581533432,0.2248664498329162,0.0871546939015388,0.7645368576049805,0.0853646546602249,0.1291874200105667,caminar_adelante,lento,Centro,Cerca
22,Adelante_Lento_Centro_Cerca.mp4,0.1672607809305191,0.8447330594062805,0.118217833340168,0.977413296699524,0.1764235496520996,0.8457292914390564,0.0898884683847427,0.9731575846672058,0.1768656075000763,0.844950258731842,0.090054303407669,0.97288715839386,0.1772143691778183,0.8441236019134521,0.090221032500267,0.9710618853569032,0.1749736368656158,0.8486968874931335,0.1026358157396316,0.9693155288696288,0.174653023481369,0.8496250510215759,0.1027273461222648,0.9712008237838744,0.1745492666959762,0.850443959236145,0.1027925759553909,0.9733645915985109,0.171814739704132,0.8420708179473877,-0.0037028964143246,0.9694405198097228,0.1695923209190368,0.8507769703865051,0.0529080219566822,0.9738453030586244,0.1551820784807205,0.842043936252594,0.0906160771846771,0.962215781211853,0.1531864404678344,0.84566730260849,0.1067106276750564,0.9668188095092772,0.1167377606034278,0.8279295563697815,-0.0892159268260002,0.9520480036735536,0.1186513006687164,0.85605388879776,0.062468159943819,0.9269778728485109,0.068736083805561,0.8229538202285767,-0.0999479442834854,0.6812176704406738,0.0851384103298187,0.8446475863456726,0.1165664494037628,0.1652734279632568,0.0574920251965522,0.8241732716560364,-0.0300778839737176,0.5125274658203125,0.0771015211939811,0.826323390007019,0.1934177577495575,0.1436099112033844,0.047272827476263,0.8260419964790344,-0.038112286478281,0.4772124588489532,0.0744156464934349,0.8235779404640198,0.2159600108861923,0.1541531980037689,0.0513173006474971,0.8274253606796265,-0.032326515763998,0.4754842519760132,0.0746523141860961,0.8206122517585754,0.1896402835845947,0.1606827527284622,0.0544660910964012,0.82762211561203,-0.0277995113283395,0.4413268566131592,0.0746649280190467,0.8203684687614441,0.1845030337572097,0.1650666743516922,-0.0652128532528877,0.8319175839424133,-0.069311037659645,0.0719194039702415,-0.0696046203374862,0.8471006751060486,0.0697221830487251,0.0639832392334938,0.0471949204802513,0.8253535032272339,-0.0757014453411102,0.5294598937034607,0.0322176069021225,0.8263302445411682,0.0680639222264289,0.1047525182366371,0.0424717739224433,0.8090875744819641,0.0464862063527107,0.2631871402263641,0.0470807515084743,0.8149670362472534,0.1633996665477752,0.0940562933683395,0.0365082882344722,0.8037823438644409,0.0554802529513835,0.174337550997734,0.0418934412300586,0.8109131455421448,0.173480212688446,0.1391095519065857,0.075640931725502,0.8108524084091187,0.0194244533777236,0.2091337144374847,0.0871067643165588,0.8151120543479919,0.164019837975502,0.1202327236533165,caminar_adelante,lento,Centro,Cerca
